ts,cmd,source,left_x,left_y,right_x,right_y,left_vis,right_vis
1770090823.490447,left,cv,1819.8298645019531,431.16515278816223,516.7464637756348,1235.761456489563,0.8655060529708862,0.3886984884738922
1770090823.521961,left,cv,1819.8298645019531,431.16515278816223,516.7464637756348,1235.761456489563,0.8655060529708862,0.3886984884738922
1770090823.553464,left,cv,1814.6051788330078,427.8722155094147,386.0075855255127,1237.9470491409302,0.8709830641746521,0.3738248646259308
1770090823.591742,left,cv,1814.6051788330078,427.8722155094147,386.0075855255127,1237.9470491409302,0.8709830641746521,0.3738248646259308
1770090823.623236,left,cv,1814.6051788330078,427.8722155094147,386.0075855255127,1237.9470491409302,0.8709830641746521,0.3738248646259308
1770090823.653956,left,cv,1781.1063766479492,357.86646366119385,476.75960540771484,1061.7424607276917,0.8665340542793274,0.3830713629722595
1770090823.690443,left,cv,1775.8325958251953,349.6803081035614,690.9844207763672,1061.6478323936462,0.8590344786643982,0.3671206533908844
1770090823.722936,left,cv,1775.8325958251953,349.6803081035614,690.9844207763672,1061.6478323936462,0.8590344786643982,0.3671206533908844
1770090823.757115,left,cv,1773.6489486694336,345.36548137664795,615.6326293945312,1179.661660194397,0.8550118803977966,0.35713157057762146
1770090823.790444,left,cv,1773.6489486694336,345.36548137664795,615.6326293945312,1179.661660194397,0.8550118803977966,0.35713157057762146
1770090823.820854,left,cv,1773.6489486694336,345.36548137664795,615.6326293945312,1179.661660194397,0.8550118803977966,0.35713157057762146
1770090823.857109,left,cv,1773.867530822754,334.00660514831543,587.7469253540039,1404.1947412490845,0.8609924912452698,0.33259478211402893
1770090823.889901,left,cv,1773.867530822754,334.00660514831543,587.7469253540039,1404.1947412490845,0.8609924912452698,0.33259478211402893
1770090823.920843,left,cv,1773.867301940918,337.8127884864807,412.1912097930908,1395.763807296753,0.8684155344963074,0.3341384828090668
1770090823.954389,left,cv,1773.9753341674805,338.6815023422241,428.3620834350586,1314.6032094955444,0.8617780804634094,0.3434608280658722
1770090823.987852,left,cv,1773.9753341674805,338.6815023422241,428.3620834350586,1314.6032094955444,0.8617780804634094,0.3434608280658722
1770090824.022172,left,cv,1773.9753341674805,338.6815023422241,428.3620834350586,1314.6032094955444,0.8617780804634094,0.3434608280658722
1770090824.055957,left,cv,1775.0386047363281,337.21251010894775,426.1153221130371,958.5755610466003,0.8526846170425415,0.336864173412323
1770090824.085657,left,cv,1775.0386047363281,337.21251010894775,426.1153221130371,958.5755610466003,0.8526846170425415,0.336864173412323
1770090824.122165,left,cv,1778.628044128418,334.02125000953674,344.95290756225586,922.6661682128906,0.8517469167709351,0.3558657467365265
1770090824.157108,left,cv,1783.223762512207,321.1839830875397,640.4788398742676,989.4148063659668,0.8427188992500305,0.35192757844924927
1770090824.190444,left,cv,1783.223762512207,321.1839830875397,640.4788398742676,989.4148063659668,0.8427188992500305,0.35192757844924927
1770090824.219719,left,cv,1783.223762512207,321.1839830875397,640.4788398742676,989.4148063659668,0.8427188992500305,0.35192757844924927
1770090824.255758,left,cv,1800.1007080078125,326.30508184432983,399.4891548156738,1411.5372562408447,0.8536331057548523,0.360226571559906
1770090824.290451,left,cv,1800.1007080078125,326.30508184432983,399.4891548156738,1411.5372562408447,0.8536331057548523,0.360226571559906
1770090824.322387,left,cv,1804.3349075317383,330.0562584400177,453.3947467803955,1546.875729560852,0.8642681837081909,0.33636653423309326
1770090824.353695,left,cv,1810.6221771240234,349.02077436447144,302.1167850494385,1480.0278282165527,0.8732760548591614,0.3756978511810303
1770090824.387491,left,cv,1810.6221771240234,349.02077436447144,302.1167850494385,1480.0278282165527,0.8732760548591614,0.3756978511810303
1770090824.421989,left,cv,1810.6221771240234,349.02077436447144,302.1167850494385,1480.0278282165527,0.8732760548591614,0.3756978511810303
1770090824.452259,left,cv,1815.809440612793,369.11062717437744,492.3153305053711,1416.2569570541382,0.8782727718353271,0.34604260325431824
1770090824.490447,left,cv,1815.809440612793,369.11062717437744,492.3153305053711,1416.2569570541382,0.8782727718353271,0.34604260325431824
1770090824.522674,left,cv,1816.117286682129,368.31388235092163,537.4100875854492,1409.0260648727417,0.8797338604927063,0.32303932309150696
1770090824.557113,left,cv,1821.0958099365234,367.8196907043457,377.2283363342285,1301.0261678695679,0.8718470335006714,0.3176867365837097
1770090824.590441,left,cv,1821.0958099365234,367.8196907043457,377.2283363342285,1301.0261678695679,0.8718470335006714,0.3176867365837097
1770090824.623781,left,cv,1821.0958099365234,367.8196907043457,377.2283363342285,1301.0261678695679,0.8718470335006714,0.3176867365837097
1770090824.657110,left,cv,1845.2722549438477,391.42083406448364,696.9096565246582,1130.1187705993652,0.8599888682365417,0.3101770579814911
1770090824.685592,left,cv,1845.2722549438477,391.42083406448364,696.9096565246582,1130.1187705993652,0.8599888682365417,0.3101770579814911
1770090824.723773,left,cv,1849.9229049682617,391.2048625946045,402.1786308288574,881.8083572387695,0.8679999113082886,0.35846245288848877
1770090824.756030,left,cv,1849.2564010620117,402.0176947116852,366.80949211120605,718.9661264419556,0.8751324415206909,0.41225236654281616
1770090824.789197,left,cv,1849.2564010620117,402.0176947116852,366.80949211120605,718.9661264419556,0.8751324415206909,0.41225236654281616
1770090824.823774,left,cv,1849.2564010620117,402.0176947116852,366.80949211120605,718.9661264419556,0.8751324415206909,0.41225236654281616
1770090824.852299,left,cv,1848.508071899414,400.6171953678131,471.65124893188477,518.5726368427277,0.8796066045761108,0.4590933918952942
1770090824.887891,left,cv,1848.508071899414,400.6171953678131,471.65124893188477,518.5726368427277,0.8796066045761108,0.4590933918952942
1770090824.918926,stop,cv,1848.4033584594727,405.2437484264374,517.5909805297852,478.00041675567627,0.8812481164932251,0.5019502639770508
1770090824.957105,stop,cv,1847.750587463379,405.1111400127411,526.8840980529785,444.4698965549469,0.8835981488227844,0.5370984673500061
1770090824.990449,stop,cv,1847.750587463379,405.1111400127411,526.8840980529785,444.4698965549469,0.8835981488227844,0.5370984673500061
1770090825.023206,stop,cv,1847.750587463379,405.1111400127411,526.8840980529785,444.4698965549469,0.8835981488227844,0.5370984673500061
1770090825.056854,stop,cv,1837.9353332519531,400.2973258495331,580.1720237731934,350.8139491081238,0.8858659267425537,0.573362410068512
1770090825.090445,stop,cv,1837.9353332519531,400.2973258495331,580.1720237731934,350.8139491081238,0.8858659267425537,0.573362410068512
1770090825.121178,forward,cv,1837.8813171386719,408.3648419380188,594.0689849853516,331.0273253917694,0.8937613368034363,0.6125141382217407
1770090825.157108,forward,cv,1833.5654067993164,408.99202823638916,589.4066619873047,303.789621591568,0.8968067169189453,0.6434031128883362
1770090825.185686,forward,cv,1833.5654067993164,408.99202823638916,589.4066619873047,303.789621591568,0.8968067169189453,0.6434031128883362
1770090825.223956,forward,cv,1833.5654067993164,408.99202823638916,589.4066619873047,303.789621591568,0.8968067169189453,0.6434031128883362
1770090825.256251,forward,cv,1836.3039779663086,408.98810148239136,596.1171340942383,268.3639597892761,0.9044408798217773,0.676661491394043
1770090825.289914,forward,cv,1836.3039779663086,408.98810148239136,596.1171340942383,268.3639597892761,0.9044408798217773,0.676661491394043
1770090825.319226,forward,cv,1833.7529754638672,407.0635735988617,585.7258987426758,281.6186213493347,0.9117320775985718,0.7073162198066711
1770090825.352657,forward,cv,1831.7813873291016,398.2380974292755,586.4593505859375,279.967839717865,0.9167467355728149,0.7343714833259583
1770090825.385469,forward,cv,1831.7813873291016,398.2380974292755,586.4593505859375,279.967839717865,0.9167467355728149,0.7343714833259583
1770090825.419613,forward,cv,1831.7813873291016,398.2380974292755,586.4593505859375,279.967839717865,0.9167467355728149,0.7343714833259583
1770090825.457016,forward,cv,1826.2005615234375,384.1859829425812,598.1751251220703,269.2322713136673,0.9239498972892761,0.7599775195121765
1770090825.486131,forward,cv,1826.2005615234375,384.1859829425812,598.1751251220703,269.2322713136673,0.9239498972892761,0.7599775195121765
1770090825.520646,forward,cv,1822.222023010254,384.12373423576355,597.6989364624023,267.42791175842285,0.9291520118713379,0.7825804948806763
1770090825.557108,forward,cv,1822.8062438964844,380.66835165023804,613.7941932678223,260.1937848329544,0.933578610420227,0.8026396632194519
1770090825.590441,forward,cv,1822.8062438964844,380.66835165023804,613.7941932678223,260.1937848329544,0.933578610420227,0.8026396632194519
